"#","Player","Pos","Team","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","2020AVG","2020TTL"
"14","Ben Roethlisberger","QB","FA","22.1","19.2","19.2","-","21.4","11","15.6","15.3","25","29.3","17.7","13.5","19.2","15.5","7.7","25.5","-","18.5","277.2"
"15","Matthew Stafford","QB","LAR","17.2","17.2","18.5","23.3","-","13.3","18.4","23.4","10.4","23","7.6","17.1","27.1","14.4","15.3","0.7","23.6","16.9","270.6"
"16","Cam Newton","QB","FA","25.7","35.6","12.2","-","-","19.5","2.8","18.4","24.6","16.8","19.2","6","23.6","5.4","12.2","9.8","37.5","17.9","269"
"17","Baker Mayfield","QB","TB","10.9","16.3","14.3","15.2","17.6","7.3","30.8","7.8","-","5.4","7.1","18.4","28.5","31","21","8","16.2","16","255.6"
"18","Jared Goff","QB","DET","11.5","24","28.2","11.7","25.4","15.9","16.9","12.2","-","10.5","25","5","24.1","15.6","16.3","10.7","-","16.9","253"
"19","Teddy Bridgewater","QB","FA","19.4","10.7","14.6","27.2","20.8","11.4","19.2","13","28.3","20","-","14.9","-","20.4","16.9","9.6","5.7","16.8","252.2"
"20","Philip Rivers","QB","FA","16.8","11.9","12.7","11.2","7.6","25.7","-","22.3","8.1","16.3","22.4","18.8","19.2","17.8","17","11.8","11.4","15.7","251"
"21","Drew Brees","QB","FA","14.4","15.5","23.5","16.5","22.1","-","23.7","19.6","22.7","6.9","-","-","-","-","20.4","10.1","20","18","215.5"
"22","Carson Wentz","QB","KC","15","14.4","23.5","22.4","19.4","29.4","28.8","10.6","-","8.7","16.4","19.8","5","-","-","-","-","17.8","213.4"
"23","Drew Lock","QB","NYG","13.1","-1.2","-","-","-","5.5","15","20.8","30.2","11","12.1","-","12.9","25.6","11","16.1","24.3","15.1","196.3"
"24","Daniel Jones","QB","NYG","19.4","8.7","9.1","11.1","8.2","14.9","21.7","18.2","12.9","22.2","BYE","10.4","-","3.1","-","14.4","15.9","13.6","190"
"25","Joe Burrow","QB","CIN","17.3","24.5","20.4","16.1","5.3","17.7","34.6","18.9","BYE","12.5","11.3","-","-","-","-","-","-","17.9","178.7"
"26","Gardner Minshew II","QB","LV","20.8","25.5","10.2","21.9","19.8","18.1","19","-","-","-","-","-","-","13.3","15.9","-","-","18.3","164.7"
"27","Mitch Trubisky","QB","BUF","24.3","15.2","12.6","-","-","-","-","0.3","-","-","BYE","20.7","13.3","25","14.5","24.6","11.3","16.2","161.7"
"28","Ryan Fitzpatrick","QB","FA","8.4","24.3","24.2","23.3","27.6","18","-","-","-","-","4.3","19.3","-","0","-","11.3","-","16.1","160.7"
"29","Sam Darnold","QB","MIN","12.2","11.9","9.7","23.6","-","-","2.8","7.4","-","-","-","6.8","21","5.6","14.1","17","12.9","12.1","145"
"30","Andy Dalton","QB","CAR","-","0","-","-","2.4","13","3.6","-","-","-","19.3","13.3","18.6","15.3","17.2","27.6","13.6","13.1","143.9"
"31","Tua Tagovailoa","QB","MIA","-","-","-","-","-","0.4","BYE","5.7","21.4","14.7","7.3","-","16.1","28","19.7","8.9","18.2","14","140.5"
"32","Dak Prescott","QB","DAL","17.6","39.8","29.5","38.3","13.4","-","-","-","-","BYE","-","-","-","-","-","-","-","27.7","138.6"
"33","Nick Mullens","QB","MIN","-","1.6","17.7","8","-","-","BYE","17.5","12.6","12.2","-","9.1","22.6","13.4","13.5","-","-","12.8","128.3"
"34","Nick Foles","QB","FA","-","-","18.2","12.9","12.6","17.3","8.4","17.9","21.6","3.4","-","-","-","-","-","-0.2","-","12.5","112.2"
"35","Jalen Hurts","QB","PHI","-","0","0.5","1.8","0.7","2.6","0.2","0.4","BYE","-0.1","0.6","0.2","10.3","19.3","37.8","20.6","17.3","7.5","112.1"
"36","Alex Smith","QB","FA","-","-","-","-","1.6","-","-","-","14","16","9.3","9.1","15.8","1.3","-","-","12.5","9.9","79.6"
"37","Dwayne Haskins","QB","FA","12.8","11.7","12.2","18.9","-","-","-","-","-","-","-","-","-","0.8","16.6","2.2","-","10.7","75.2"
"38","Jimmy Garoppolo","QB","LAR","19.3","13.2","-","-","1.1","23.5","9.5","2.8","BYE","-","-","-","-","-","-","-","-","11.6","69.3"
"39","Mike Glennon","QB","FA","-","-","-","-","-","-","-","-","-","-","-","18","14.1","2.4","-","14.4","16.6","13.1","65.6"
"40","Joe Flacco","QB","IND","-","-","-","0.6","13.8","6.4","BYE","-","21.5","-","15.4","-","-","-","-","-","-","11.6","57.8"
"41","Brandon Allen","QB","SF","-","-","-","-","-","-","-","-","-","-","BYE","7.1","9.4","13.9","-","23.1","0.1","10.7","53.7"
"42","C.J. Beathard","QB","JAC","-","-","-","5.5","5.8","-","-","BYE","-","0","-","-","-","-","8","19.1","13.9","8.7","52.3"
"43","Kyle Allen","QB","PIT","-","-","-","BYE","9.7","17","16.9","-","2.5","-","-","-","-","-","-","-","-","11.5","46"
"44","Jake Luton","QB","FA","-","-","-","-","-","-","-","-","22.5","9.8","2","-","-","-","-","-","-","11.4","34.3"
"45","Jeff Driskel","QB","WAS","-","19.7","11.4","0.9","-","-","-","BYE","-","-","-","-","-","-","-","-","-","10.7","32.1"
"46","Marcus Mariota","QB","WAS","-","-","-","-","-","-","-","BYE","-","-","-","-","-","-","26.8","-","-","26.8","26.8"
"47","Chad Henne","QB","FA","-","-","-","-","-","-","6.3","0.7","-","-","-","-","-","-","-","-","16.7","7.9","23.7"
"48","Ryan Finley","QB","FA","-","-","0","-","-","-","-","-","-","-","2.1","-","0.6","0.2","18.3","-","-","4.2","21.2"
"49","Jacoby Brissett","QB","NE","0","-","0.7","-","BYE","-","-","-","0","6.2","0.9","12.3","0.1","-0.2","0.2","0.1","0.3","1.9","20.6"
"50","Mason Rudolph","QB","TEN","-","-","-","BYE","-","-0.1","-","-","0.1","0","-0.4","-","-","-","-","-","19.7","3.9","19.4"
"51","Colt McCoy","QB","FA","-","-","-","-","-","-","-","-","-","-","-","1.9","9.4","-1.3","9.1","-","-","4.8","19.2"
"52","Jarrett Stidham","QB","DEN","-","-","-","4.7","BYE","-","1.9","-","-","-","-","-","6.2","1.4","-","1.8","-","3.2","15.9"
"53","Garrett Gilbert","QB","FA","-","-","-","-","-","-","-","-","15.5","-","-","-","-","-","-","-","0","7.8","15.5"
"54","Blaine Gabbert","QB","KC","-","-","-","-","-","0.2","-","-","-0.1","0","-","-","-","-","-","15.2","-","3.8","15.3"
"54","Brett Rypien","QB","CHI","-","-","1.1","14.2","-","-","0","-","-","-","BYE","-","-","-","-","-","-","5.1","15.3"
"56","Chase Daniel","QB","FA","-","-","-","-","-","-","-","-","7.3","-","-","-","-","1.2","2.3","3.4","-","3.5","14.2"
"57","John Wolford","QB","TB","-","-","-","-","-","-","-","-","-","-","-","-","BYE","-","-","-","13.8","13.8","13.8"
"58","P.J. Walker","QB","CLE","-","-","-","-","-","-","-","0.1","BYE","0.5","12.1","-","-","-","-","-","0.8","3.4","13.5"
"59","Taylor Heinicke","QB","ATL","-","-","-","-","-","-","-","-","-","BYE","-","-","-","-","-","11.7","-","11.7","11.7"
"60","Matt Barkley","QB","JAC","-","-","-","-","0.9","-","-","BYE","-","-","-","0","-","-","0","0.1","9.3","2.1","10.3"
"61","Trace McSorley","QB","FA","-","-","-","-","-","-","-","-","-","-","-","8.7","-","0.6","-","-","-","4.7","9.3"
"62","Tyrod Taylor","QB","NYJ","9","-","-","-","-","-","-","-","0","BYE","-","-","-","-","-","-","-","4.5","9"
"63","Chris Streveler","QB","FA","0.3","0","0","-","-","-","-","-","-","-","0","-","-","-","-","-","8.4","1.7","8.7"
"64","Ben DiNucci","QB","DEN","-","-","-","-","BYE","0","1.6","5.4","-","-","-","-","-","-","-","-","-","2.3","7"
"65","Robert Griffin III","QB","FA","0.3","-","-","-0.7","-0.1","-","-","-","-","-","-","5.1","-","-","-","-","-","1.1","4.6"
"66","Brian Hoyer","QB","FA","-","-","-","3","-","-","-","-","-","-","-","-","-","-","-","-","-","3","3"
"67","Tyler Huntley","QB","CLE","-","-","-","-","-","-","-","-","BYE","-","-","-","-","-","2.1","-","0.8","1.5","2.9"
"68","David Blough","QB","FA","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","2.8","-","2.8","2.8"
"69","Tommy Stevens","QB","FA","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","2.4","2.4","2.4"
"69","Jameis Winston","QB","CLE","-","-","-","-","-","-","-","-","0.2","2.3","-","0","-","-","-","-","-0.1","0.6","2.4"
"71","Joshua Dobbs","QB","SF","-","-","-","-","-","-","-","-","-","-","BYE","-","-","-","-","-","2.1","2.1","2.1"
"72","Nathan Peterman","QB","NO","-","-","-","-","-","BYE","-","-","-","-","-","1.9","-","-","-","-","-","1.9","1.9"
"73","Case Keenum","QB","HOU","-","-","-","-","-","1.8","-","BYE","-","-","-","-","-","-","-","0","-","0.9","1.8"
"74","Logan Woodside","QB","ATL","-","-","-","-","-","-","-","-","-","0","0.3","-0.5","-","1.8","-0.3","0","-","0.2","1.3"
"75","Geno Smith","QB","SEA","-","-","-","-","-","BYE","-","-","-","-","-","-","-","1.1","-","-","-","1.1","1.1"
"76","AJ McCarron","QB","FA","-","-","-","-","-","-","-","-","-","-","-","-","-","0","-","-","0.8","0.4","0.8"
"77","Tyler Bray","QB","FA","-","-","-","-","-","-","-","-","-","0.7","-","-","-","-","-","-","-","0.7","0.7"
"78","John Lovett","QB","FA","0","0","0","0","-","0","0","0","0.6","-","-","-","-","-","-","-","-","0.1","0.6"
"79","Joe Webb III","QB","FA","-","-","-","-","-","-","-","-","-","-","-","-","-","-","0","0","-","0","0"
"79","Mike White","QB","MIA","-","-","-","-","-","-","BYE","-","-","-","0","-","-","-","-","-","-","0","0"
"81","Easton Stick","QB","LAC","-","-","-","-","-","BYE","0","-","-","-","-","-","-","-","-","-","-","0","-0"
"82","Matt Schaub","QB","FA","-","-","-","-","-","-","-","-","-","-","-","-0.4","-","-","-","-","-","-0.4","-0.4"
"83","Nate Sudfeld","QB","DET","-","-","-","-","BYE","-","-","-","-","-","-","-","-","-","-","-","-0.5","-0.5","-0.5"
"84","Tim Boyle","QB","HOU","-0.2","-0.1","-","-0.1","-","0","-0.1","BYE","-0.1","-","-","0","-","-","-","-0.3","-","-0.1","-0.9"
""
""
