Philip Rivers,JAX,MIN,NYJ,CHI,CLE,CIN,#CALC!,DET,BAL,TEN,GB,TEN,HOU,LV,HOU,PIT,JAX,#CALC!,#CALC!,#CALC!,#CALC!,#CALC!,#CALC!,#CALC!,#CALC!,#CALC!,#CALC!,#CALC!,#CALC!,#CALC!,#CALC!,#CALC!,#CALC!,#CALC!,#CALC!,#CALC!,#CALC!,#CALC!,#CALC!,#CALC!,#CALC!,#CALC!,#CALC!,#CALC!,#CALC!,#CALC!,#CALC!,#CALC!,#CALC!,#CALC!,#CALC!,#CALC!,#CALC!,#CALC!,#CALC!,#CALC!,#CALC!,#CALC!,#CALC!,#CALC!,#CALC!,#CALC!,#CALC!,#CALC!,#CALC!,#CALC!,#CALC!,#CALC!,#CALC!,#CALC!,#CALC!
Jared Goff,DAL,PHI,BUF,NYG,WSH,SF,CHI,MIA,#CALC!,SEA,TB,SF,ARI,NE,NYJ,SEA,#CALC!,SF,GB,BAL,CHI,MIN,CIN,LAR,PHI,#CALC!,PIT,#CALC!,CHI,MIN,DEN,ARI,#CALC!,#CALC!,GB,PHI,WSH,MIN,SEA,NE,#CALC!,DAL,MIA,GB,CHI,NYG,BUF,JAX,MIN,NYJ,CAR,CHI,GB,KC,SEA,ATL,GB,CAR,TB,BAL,LV,#CALC!,LAC,CHI,GB,NO,CHI,DEN,MIN,DAL,MIN
Baker Mayfield,BAL,CIN,WSH,DAL,IND,PIT,CIN,LV,#CALC!,HOU,PHI,JAX,TEN,BAL,NYG,NYJ,PIT,KC,HOU,CHI,MIN,LAC,ARI,#CALC!,PIT,CIN,NE,DET,BAL,#CALC!,BAL,#CALC!,GB,PIT,#CALC!,CLE,NYG,NO,ARI,SF,#CALC!,#CALC!,#CALC!,CIN,#CALC!,BAL,#CALC!,#CALC!,LV,GB,DEN,LAC,SEA,MIN,CHI,PHI,NO,#CALC!,DET,ATL,BUF,HOU,TEN,SF,IND,CAR,ATL,GB,JAX,NO,CAR
Tom Brady,NO,CAR,DEN,LAC,CHI,GB,LV,NYG,NO,CAR,LAR,KC,#CALC!,MIN,ATL,DET,ATL,DAL,ATL,LAR,NE,MIA,PHI,CHI,NO,#CALC!,WSH,NYG,IND,ATL,BUF,NO,CAR,NYJ,CAR,DAL,NO,GB,KC,ATL,PIT,CAR,BAL,LAR,SEA,#CALC!,CLE,NO,SF,CIN,ARI,CAR,#CALC!,#CALC!,#CALC!,#CALC!,#CALC!,#CALC!,#CALC!,#CALC!,#CALC!,#CALC!,#CALC!,#CALC!,#CALC!,#CALC!,#CALC!,#CALC!,#CALC!,#CALC!,#CALC!
Jimmy Garoppolo,ARI,#CALC!,#CALC!,#CALC!,MIA,LAR,NE,SEA,#CALC!,#CALC!,#CALC!,#CALC!,#CALC!,#CALC!,#CALC!,#CALC!,#CALC!,DET,PHI,GB,SEA,#CALC!,#CALC!,IND,CHI,ARI,LAR,JAX,MIN,SEA,CIN,ATL,TEN,#CALC!,LAR,#CALC!,SEA,DEN,LAR,CAR,ATL,KC,LAR,#CALC!,LAC,ARI,NO,#CALC!,#CALC!,#CALC!,#CALC!,#CALC!,#CALC!,DEN,BUF,PIT,#CALC!,GB,NE,#CALC!,DET,#CALC!,#CALC!,#CALC!,#CALC!,#CALC!,#CALC!,#CALC!,#CALC!,#CALC!,#CALC!
Tyrod Taylor,CIN,#CALC!,#CALC!,#CALC!,#CALC!,#CALC!,#CALC!,#CALC!,#CALC!,#CALC!,#CALC!,#CALC!,#CALC!,#CALC!,#CALC!,#CALC!,#CALC!,JAX,#CALC!,#CALC!,#CALC!,#CALC!,#CALC!,#CALC!,#CALC!,MIA,#CALC!,TEN,NYJ,#CALC!,#CALC!,#CALC!,#CALC!,#CALC!,#CALC!,#CALC!,#CALC!,#CALC!,#CALC!,#CALC!,#CALC!,#CALC!,#CALC!,#CALC!,#CALC!,#CALC!,#CALC!,#CALC!,#CALC!,#CALC!,#CALC!,#CALC!,#CALC!,#CALC!,#CALC!,#CALC!,#CALC!,#CALC!,BUF,WSH,#CALC!,#CALC!,#CALC!,#CALC!,#CALC!,#CALC!,#CALC!,#CALC!,#CALC!,LAR,PHI
Carson Wentz,WSH,LAR,CIN,SF,PIT,BAL,NYG,DAL,#CALC!,NYG,CLE,SEA,GB,#CALC!,#CALC!,#CALC!,#CALC!,SEA,LAR,TEN,MIA,BAL,HOU,SF,TEN,NYJ,JAX,BUF,TB,HOU,#CALC!,#CALC!,ARI,LV,JAX,JAX,DET,PHI,DAL,TEN,CHI,#CALC!,#CALC!,#CALC!,#CALC!,#CALC!,#CALC!,#CALC!,#CALC!,#CALC!,#CALC!,CLE,#CALC!,#CALC!,#CALC!,#CALC!,#CALC!,#CALC!,#CALC!,#CALC!,#CALC!,#CALC!,#CALC!,#CALC!,#CALC!,#CALC!,#CALC!,#CALC!,#CALC!,#CALC!,SF
Sam Darnold,BUF,SF,IND,DEN,#CALC!,#CALC!,BUF,KC,#CALC!,#CALC!,#CALC!,MIA,LV,SEA,LAR,CLE,NE,NYJ,NO,HOU,DAL,PHI,MIN,NYG,ATL,NE,#CALC!,#CALC!,#CALC!,#CALC!,#CALC!,#CALC!,TB,NO,TB,#CALC!,#CALC!,#CALC!,#CALC!,#CALC!,#CALC!,#CALC!,#CALC!,#CALC!,#CALC!,#CALC!,DEN,#CALC!,SEA,PIT,DET,TB,NO,#CALC!,#CALC!,#CALC!,#CALC!,#CALC!,#CALC!,#CALC!,#CALC!,#CALC!,#CALC!,#CALC!,#CALC!,#CALC!,#CALC!,#CALC!,#CALC!,#CALC!,LAR
Joe Burrow,LAC,CLE,PHI,JAX,BAL,IND,CLE,TEN,#CALC!,PIT,WSH,#CALC!,#CALC!,#CALC!,#CALC!,#CALC!,#CALC!,MIN,CHI,PIT,JAX,GB,DET,BAL,NYJ,CLE,#CALC!,LV,PIT,LAC,SF,DEN,BAL,KC,#CALC!,PIT,DAL,NYJ,MIA,BAL,NO,ATL,CLE,CAR,#CALC!,PIT,TEN,KC,CLE,TB,NE,#CALC!,BAL,CLE,BAL,LAR,TEN,ARI,SEA,#CALC!,SF,BUF,HOU,BAL,#CALC!,#CALC!,#CALC!,#CALC!,#CALC!,#CALC!,#CALC!
Justin Herbert,#CALC!,KC,CAR,TB,NO,#CALC!,JAX,DEN,LV,MIA,NYJ,BUF,NE,ATL,LV,DEN,KC,WSH,DAL,KC,LV,CLE,BAL,#CALC!,NE,PHI,MIN,PIT,DEN,CIN,NYG,KC,HOU,DEN,LV,LV,KC,JAX,HOU,CLE,DEN,SEA,#CALC!,ATL,SF,KC,ARI,LV,MIA,TEN,IND,LAR,DEN,MIA,TEN,MIN,LV,#CALC!,DAL,KC,CHI,NYJ,DET,GB,BAL,NE,DEN,#CALC!,#CALC!,#CALC!,#CALC!
