"#","Player","Pos","Team","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","AVG","TTL"
"52","Christian Ponder","QB","FA","-","-","-","0.1","12.4","-","-","-","-","-","-","-","-","-","-","-","-","6.2","12.5"
"53","Jimmy Garoppolo","QB","LAR","-","-","-","6.8","-0.4","-","-","0.8","-","-","-0.2","-","-","-","0","-","5.2","2","12.2"
"54","Johnny Manziel","QB","FA","-","0","0","-","-","-","-","-","-","-","-","-","9.8","-","0.5","1.6","-","2.4","11.9"
"55","Chase Daniel","QB","FA","-","-","-","-","-","-","-","0","-","-","-","-","-","-","-0.1","-","7.9","2.6","7.8"
"56","Brock Osweiler","QB","FA","-","-","-","-","-","-","0","-","-","0.7","-","-","-","-","-0.1","-","5.5","1.5","6.1"
"57","Blaine Gabbert","QB","KC","-","-","-","-","-","BYE","6","-","-","-","-","-","-","-","-","-","-","6","6"
"58","Matt McGloin","QB","FA","-","-","-","5.5","-","-","-","-","-","-","-","-","-","-","-","-","-","5.5","5.5"
"59","Connor Shaw","QB","FA","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","4","4","4"
"60","Ryan Nassib","QB","FA","-","-","-","0","-","2.4","-","-","0","-","-","-","-","-0.3","-","-","-","0.5","2.1"
"61","Matt Simms","QB","FA","-","-","-","-","-","-","-","-","1.8","-","-","-","-","-","-","-","-","1.8","1.8"
"62","Joe Webb III","QB","FA","-","-","-","-","-","-","-","0","0","1.6","0","-","-","0","-","0","0","0.2","1.6"
"63","Jason Campbell","QB","FA","-","-","-0.1","-","1.8","-","-","-","-","0.3","-","-","-","-0.9","-","-","-","0.3","1.1"
"64","Matt Moore","QB","FA","-","-","-","-0.2","-","-","-","-","0.8","-","-","-","-","-","-","-","-","0.3","0.6"
"65","T.J. Yates","QB","FA","-","-","0.6","-","-","-","-","-","-","-","-","-","-","-","-","-","-","0.6","0.6"
"66","Tom Savage","QB","FA","-","-","-","-","-","-","-","-","-","-","-","-","-0.2","-","0.7","-","-","0.2","0.5"
"67","Kellen Clemens","QB","FA","-","-","-","-","0","-","-","-","0.4","-","-","-","-","-","-","-","-","0.2","0.4"
"68","Jordan Palmer","QB","FA","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","0.2","0.2","0.2"
"69","Matt Barkley","QB","JAC","-","-","-","-","-","-","-","-","-","0","BYE","-","-","-","-","-","-","0","0"
"69","Luke McCown","QB","FA","0","0","0","0","0","-","0","0","0","0","0","0","0","0","0","0","0","0","0"
"69","Tarvaris Jackson","QB","FA","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","0","-","0","0"
"72","Bruce Gradkowski","QB","FA","-","-","-0.2","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-0.2","-0.2"
"73","Tyrod Taylor","QB","NYJ","-","-","-","-","-","-0.3","-","-","-","-","BYE","-","-","-","-","-","-","-0.3","-0.3"
"74","Matt Flynn","QB","FA","-","-","-","-","-1.2","-","-0.3","-1.7","-","0.2","0.7","-","-","-","-","-0.3","0.2","-0.3","-2.4"
"75","Matt Schaub","QB","FA","-","-","-","-","-","-","0","-2","0","0","0","0","-1.7","0","0","0","0","-0.3","-3.7"
""
""
